,Open,High,Low,Close,Volume
2015-01-09,9.700460580027915,9.827455640126347,9.641847117048105,9.729766845703125,16354659
2015-01-12,9.778610339968171,9.866530060504777,9.671152489699294,9.68092155456543,18793145
2015-01-13,9.749303580231945,9.759072645533823,9.641846656799316,9.641846656799316,11532920
2015-01-14,9.632077408614846,9.66138460396403,9.456238894666374,9.48554515838623,16884856
2015-01-15,9.241324393453233,9.241324393453233,9.09479213889269,9.11432933807373,27827766
2015-01-16,9.143635454553651,9.192479849159113,9.055716662219025,9.085022926330566,13659410
2015-01-19,8.99710357577836,8.99710357577836,8.79195785522461,8.79195785522461,27999734
2015-01-20,9.241324743320998,9.436701400674947,9.212018477625252,9.426932334899902,31238627
2015-01-21,9.436701667653582,9.456239799756435,9.202249672195839,9.231555938720703,21899978
2015-01-22,9.153405010236714,9.397626064719963,9.045948081650662,9.299938201904297,42302190
2015-01-23,9.251093607744775,9.299938003927505,9.143635749816895,9.143635749816895,18979708
2015-01-26,9.260861318855785,9.514851422106089,9.24132412025232,9.48554515838623,25136038
2015-01-27,9.436700729096163,9.446469794175977,9.309705677946567,9.358550071716309,19883916
2015-01-28,9.319475901016824,9.348782168268388,9.212018966674805,9.212018966674805,12518146
2015-01-29,9.260861770893577,9.299938033266532,9.19248017499965,9.270630836486816,10718790
2015-01-30,9.251093400369312,9.27063059942683,9.143635544850243,9.16317367553711,13800081
2015-02-02,9.00687232457032,9.065484853164053,8.97756512864411,9.036178588867188,15285719
2015-02-03,8.889646409309092,8.899414543069309,8.674731628885334,8.684500694274902,24496617
2015-02-04,8.762651216684013,8.879877204632008,8.743113086211345,8.782188415527344,24641925
2015-02-05,8.8505713175097,8.860339451532735,8.606350265975683,8.79195785522461,14483677
2015-02-06,8.67473256369867,8.70403883139615,8.518431227139507,8.557506561279297,12905406
2015-02-09,8.586811346193588,8.586811346193588,8.430510036624764,8.51842975616455,12955269
2015-02-10,8.733344078063965,8.752882208664351,8.50866116593558,8.733344078063965,17082907
2015-02-11,8.83103339316311,8.870108725059122,8.743113663489735,8.772419929504395,19580203
2015-02-12,8.811495819857576,9.065485000610352,8.811495819857576,9.065485000610352,30068856
2015-02-13,8.997103456009297,9.006872521531662,8.879877464629,8.889646530151367,11526707
2015-02-16,8.948258807761137,9.114329190442108,8.928721608896556,9.085022926330566,17194650
2015-02-17,9.016641203795729,9.260862266931639,9.016641203795729,9.055717468261719,33068883
2015-02-18,9.1924799980566,9.1924799980566,9.104560272668532,9.11432933807373,17147315
2015-02-19,9.260861770893577,9.270630836486816,9.202249240592888,9.270630836486816,9439702
2015-02-20,9.163173642992733,9.163173642992733,9.036178588867188,9.036178588867188,12285156
2015-02-23,9.085023674466967,9.231555938720703,9.075254608415541,9.231555938720703,11606719
2015-02-24,9.280400503532118,9.40739556958651,9.241325170256108,9.387857437133789,15225800
2015-02-25,9.339013032975503,9.368319297087044,9.065484795836646,9.085022926330566,30688206
